Catechin,Epicatechin,Gallocatechin,Epigallocatechin,Catechin Gallate,Epicatechin Gallate,Gallocatechin Gallate,Epigallocatechin Gallate,Caffeine
0.001,0.080000006,3.4762309,0.07,4.45,0.36,0.36,1.64,8.162599
0.002,0.040000003,3.46,0.049999997,4.45,0.22,0.22,1.2700001,8.137931
0.003,0.040000003,3.550501,0.030000001,4.45,0.21,0.21,1.0,8.462456
0.005,0.07,3.551636,0.060000002,4.45,0.33,0.32999998,1.36,8.442955
0.003,0.11,3.5414412,0.049999997,4.45,0.28,0.28,1.28,8.388023
0.02,26.0,9.637395,0.13,4.45,0.57,0.1,8.38,16.631105
0.02,32.0,11.971081,0.020000001,4.45,1.36,0.12,8.38,22.396227
0.02,31.4,11.966198,0.030000001,4.45,1.68,0.25,8.38,22.84395
0.02,9.150001,4.070142,0.020000001,4.45,1.16,0.25,8.38,5.608628
0.02,30.1,11.494315,0.020000001,4.45,1.67,0.23,8.38,21.82111
0.02,48.749996,18.004034,0.010000001,4.5543756,1.61,0.24,8.38,35.336105
0.02,26.250002,9.900187,0.049999997,4.45,1.09,0.13000001,8.38,17.750206
0.02,72.5,27.744892,0.020000001,8.576473,1.4200001,0.17,8.38,52.1648
0.4777962,0.0,3.46,0.020000001,4.45,1.37,0.18,8.38,4.4468465
0.5711559,0.0,3.46,0.049999997,4.45,1.88,0.25,8.38,4.7942386
0.49909958,0.0,3.46,0.030000001,4.45,1.48,0.2,8.38,4.5226574
0.49311745,0.0,3.46,0.020000001,4.45,1.46,0.19,8.38,4.5059586
1.9188681,0.0,3.46,16.1,4.45,1.0500001,16.1,40.01413,1.9699999
0.02,34.600002,14.319632,3.6999998,4.45,20.300001,3.7,27.718098,42.266983
0.02,16.2,3.46,4.4,4.45,26.199999,4.4,45.905506,15.273003
0.02,31.4,11.104133,3.3999999,4.45,26.6,3.4,37.154026,36.242268
0.02,26.0,4.0750737,6.2000003,4.45,42.600002,6.2000003,68.75871,23.20271
0.02,32.0,10.905237,3.6999998,4.45,28.8,3.7,40.559387,36.585945
0.02,19.0,4.5871005,5.6,4.45,23.4,5.6000004,45.149994,16.335257
0.02,21.7,3.46,8.5,4.45,35.100002,8.5,66.33287,17.829372
2.6452827,3.5349612,3.46,18.128033,4.45,9.097159,6.0,32.922485,11.377192
3.1920238,2.4271908,3.46,20.95487,4.45,10.858434,9.0,40.503956,11.103149
2.4627182,3.9034357,3.46,17.182354,4.45,8.509157,5.0,30.392193,11.467035
3.0101128,2.7972765,3.46,20.016191,4.45,10.272307,8.0,37.980118,11.19609
2.170174,6.331099,3.46,18.1,4.45,6.574419,0.26000002,22.329947,14.15342
4.010189,8.523768,3.46,35.46,4.45,9.311401,0.26000002,34.97168,21.419422
3.4134557,7.8126664,3.46,29.830002,4.45,8.423774,0.26000002,30.871853,19.062992
0.7414066,4.6284957,3.46,4.6200004,4.45,4.4491587,0.26000002,12.513671,8.511387
11.710728,10.598278,3.46,95.85,9.340613,31.870653,21.716118,126.64756,31.616518
9.059825,10.624836,3.46,76.65,6.6279926,22.024677,10.919113,88.06413,31.420115
4.957754,9.652944,3.46,44.4,4.45,10.720883,0.26000002,41.48188,25.161245
7.757548,10.624598,3.46,67.2,5.2955003,17.202738,5.6473427,69.165,31.300394
5.5987926,1.02,3.6406732,36.40479,5.015709,34.289883,46.95,133.07999,2.1667109
3.6010609,8.036228,3.46,31.599998,4.45,8.702832,0.26000002,32.160786,19.803825
3.6805549,8.130958,3.46,32.35,4.45,8.821077,0.26000002,32.706944,20.117735
2.7849255,7.063673,3.46,23.9,4.45,7.488848,0.26000002,26.553566,16.581001
3.0287063,7.3541765,3.46,26.199999,4.45,7.851467,0.26000002,28.22845,17.543661
2.57,29.7,5.58,32.6,4.45,15.415456,0.26000002,44.862766,26.257143
3.05,30.1,6.48,31.400002,4.45,15.007713,0.26000002,41.616844,27.369486
2.81,36.2,9.54,28.800001,4.6242805,14.469943,0.26000002,37.027042,34.050728
0.4,0.9,0.0,0.95000005,4.45,7.7097316,0.26000002,16.499617,1.9699999
1.57,1.8399999,1.45,1.16,4.45,6.515119,0.26000002,12.439233,1.9699999
