Tea Name,Catechin,Gallocatechin,Epicatechin,Epigallocatechin,Gallocatechin Gallate,Epicatechin Gallate,Epigallocatechin Gallate
Yunnan,3.11,,73.89,34.56,25.22,25.22,57.77
Guangdong,3.16,,40.11,44.00,14.89,14.89,37.28
Jinghua,1.94,,41.67,21.89,7.89,7.89,30.83
Fu-Chien Mao-Feng,0.001,,0.06,0.05,0.41,0.41,1.45
He-Nan Hsin-Yang Mao-Chien,0.002,,0.06,0.05,0.33,0.33,1.76
Hu-Pei He-Feng Fu-Hsi,0.003,,0.04,0.04,0.31,0.31,1.64
Chue-Chiag longjing,0.01,,6.80,3.00,1.70,1.70,1.64
Hu-Pei San-Hsia Mao-Chien,0.002,,0.03,0.02,0.26,0.26,1.22
Shan-Hsi Tsu-Yang,0.001,,0.03,0.04,0.25,0.25,1.38
He-Nan Hsin-Yang Yun-Woo,0.002,,0.03,0.04,0.27,0.27,1.35
Che-Chiang Hang-Chou longjing,0.002,,0.04,0.03,0.46,0.46,1.24
An-Hui Huang-Shan Yun-Woo,0.01,,0.02,0.01,0.22,0.22,0.88
An-Hui Pi-Luo-Chun,0.001,,0.03,0.02,0.29,0.29,0.86
Bei-Jing Mo-Li-Hua,0.001,,0.08,0.07,0.36,0.36,1.64
Fu-Chien Hu-Chiu Mo-Li-Hua,0.002,,0.04,0.05,0.22,0.22,1.27
Ssu-Chuan Cheng-Tou Mo-Li-Hua,0.003,,0.04,0.03,0.21,0.21,1.00
Ssu-Chuan Yung-Chuan Mo-Li-Hua,0.005,,0.07,0.06,0.33,0.33,1.36
San-Shya, Taipei longjing,0.003,,0.11,0.05,0.28,0.28,1.28
Osaka-Fu,,,26.00,0.13,0.10,0.57
Aichi-Ken,,,32.00,0.02,0.12,1.36
Kyoto Mat-Cha,,,31.40,0.03,0.25,1.68
Shizuoka 1,,,9.15,0.02,0.25,1.16
Shizuoka 2,,,30.10,0.02,0.23,1.67
Kyoto Sen-Cha,,,48.75,0.01,0.24,1.61
Kyoto,,,26.25,0.05,0.13,1.09
Fukuoka-Ken,,,72.50,0.02,0.17,1.42
Tokyo decocted 1,,,0,0.02,0.18,1.37
Tokyo decocted 2,,,0,0.05,0.25,1.88
Tokyo decocted 3,,,0,0.03,0.20,1.48
Tokyo Yn-Loo,,,0,0.02,0.19,1.46
Tokyo Thu-Ya,,,0,16.10,16.10,1.05
Bandia (Japan),,,34.60,3.70,3.70,20.30
Chinese Green Tea,,,16.20,4.40,4.40,26.20
Japanese Green Tea 1,,,31.40,3.40,3.40,26.60
Osaka-Fu,,,26.00,6.20,6.20,42.60
Japanese Green Tea 2,,,32.00,3.70,3.70,28.80
Indian Green Tea,,,19.00,5.60,5.60,23.40
Chun mee (China),,,21.70,8.50,8.50,35.10
3 min infusion,,,,,6.00
20 min infusion,,,,,9.00
Jasmine 3 min,,,,,5.00
Jasmine 20 min,,,,,8.00
Japanese green tea,,,,18.10
Long-jing,,,,35.46
Jasmine,,,,29.83
Green tea infusion,,,,4.62
China Leaf,,,,95.85
Taiwan Leaf,,,,76.65
4 whole leaves,,,,44.40
5 minced leaves,,,,67.20
Luan Guapian, China,,,,46.95
Longjin ,,,,31.60
Maofeng ,,,,32.35
Suntory ,,,,23.90
Dynasty Japan,,,,26.20
Gunpowder,2.57,5.58,29.70,32.60
Roasted green tea,3.05,6.48,30.10,31.40
Sencha,2.81,9.54,36.20,28.80
Keemun,0.4,0,0.90,0.95
Sri Lanka,1.57,1.45,1.84,1.16
